timestamp work_status azimuth elevation radial_distance
0.000 1.000 0.786 0.614 8659.317 
-0.005 1.000 0.785 0.614 8661.190 
-0.011 1.000 0.784 0.614 8664.938 
-0.017 1.000 0.785 0.615 8666.811 
-0.009 1.000 0.786 0.614 8672.432 
-0.014 1.000 0.787 0.614 8674.305 
-0.006 1.000 0.786 0.614 8678.052 
-0.012 1.000 0.784 0.616 8681.799 
-0.018 1.000 0.787 0.615 8683.673 
-0.009 1.000 0.787 0.614 8689.293 
-0.015 1.000 0.784 0.614 8691.166 
-0.007 1.000 0.785 0.617 8696.787 
-0.013 1.000 0.786 0.616 8698.660 
-0.019 1.000 0.785 0.616 8700.534 
-0.010 1.000 0.786 0.617 8706.154 
-0.016 1.000 0.786 0.615 8708.028 
-0.008 1.000 0.785 0.617 8713.648 
-0.014 1.000 0.785 0.615 8715.521 
-0.019 1.000 0.784 0.614 8717.396 
-0.011 1.000 0.785 0.615 8723.016 
-0.017 1.000 0.784 0.616 8724.890 
-0.009 1.000 0.786 0.614 8730.510 
-0.014 1.000 0.785 0.616 8732.384 
-0.006 1.000 0.786 0.616 8738.004 
-0.012 1.000 0.785 0.617 8739.878 
-0.018 1.000 0.786 0.617 8743.624 
-0.009 1.000 0.786 0.615 8747.371 
-0.015 1.000 0.784 0.617 8749.245 
-0.007 1.000 0.786 0.617 8754.865 
-0.013 1.000 0.786 0.616 8756.739 
-0.019 1.000 0.785 0.615 8760.486 
-0.010 1.000 0.787 0.616 8764.233 
-0.016 1.000 0.786 0.614 8767.979 
-0.008 1.000 0.786 0.615 8771.727 
-0.014 1.000 0.784 0.617 8775.474 
-0.019 1.000 0.786 0.614 8777.348 
-0.011 1.000 0.785 0.617 8782.968 
-0.017 1.000 0.785 0.617 8784.842 
-0.008 1.000 0.787 0.616 8788.589 
-0.014 1.000 0.787 0.614 8792.336 
-0.006 1.000 0.786 0.614 8796.082 
-0.012 1.000 0.786 0.616 8799.829 
-0.018 1.000 0.787 0.616 8801.703 
-0.009 1.000 0.784 0.614 8807.323 
-0.015 1.000 0.784 0.617 8809.197 
-0.007 1.000 0.786 0.614 8814.817 
-0.013 1.000 0.785 0.616 8816.691 
-0.018 1.000 0.787 0.616 8818.564 
-0.010 1.000 0.784 0.616 8824.185 
-0.016 1.000 0.785 0.617 8826.059 
-0.008 1.000 0.784 0.614 8831.679 
-0.013 1.000 0.784 0.614 8833.553 
-0.019 1.000 0.784 0.614 8835.426 
-0.011 0.000 0.784 0.614 8841.047 
-0.017 1.000 0.787 0.616 8842.920 
-0.008 1.000 0.786 0.614 8848.540 
-0.014 1.000 0.786 0.617 8850.414 
-0.006 1.000 0.785 0.616 8856.034 
-0.012 1.000 0.786 0.614 8857.908 
-0.018 1.000 0.784 0.614 8859.781 
-0.009 1.000 0.786 0.615 8865.402 
-0.015 1.000 0.787 0.616 8867.275 
-0.007 1.000 0.786 0.616 8872.896 
-0.013 1.000 0.785 0.614 8874.770 
-0.018 1.000 0.785 0.616 8878.517 
-0.010 1.000 0.784 0.615 8882.264 
-0.016 0.000 0.786 0.614 8886.011 
-0.008 1.000 0.787 0.615 8889.758 
-0.013 1.000 0.784 0.616 8891.631 
-0.019 1.000 0.786 0.617 8895.378 
-0.011 1.000 0.784 0.616 8899.125 
-0.017 1.000 0.787 0.617 8902.872 
-0.008 1.000 0.786 0.615 8906.619 
-0.014 1.000 0.785 0.616 8910.366 
-0.006 1.000 0.787 0.615 8914.113 
-0.012 1.000 0.787 0.614 8917.860 
-0.017 1.000 0.784 0.614 8919.733 
-0.009 1.000 0.787 0.617 8923.480 
-0.015 1.000 0.784 0.614 8927.228 
-0.007 0.000 0.786 0.615 8930.975 
-0.012 1.000 0.787 0.616 8934.722 
-0.018 1.000 0.787 0.617 8936.595 
-0.010 1.000 0.786 0.616 8942.216 
-0.016 0.000 0.785 0.615 8944.089 
-0.007 1.000 0.786 0.615 8949.709 
-0.013 1.000 0.786 0.615 8951.583 
-0.019 1.000 0.787 0.616 8953.456 
-0.011 1.000 0.786 0.614 8959.077 
-0.017 0.000 0.785 0.616 8960.950 
-0.008 1.000 0.787 0.615 8966.571 
-0.014 1.000 0.787 0.616 8968.444 
-0.006 1.000 0.786 0.615 8974.065 
-0.012 1.000 0.786 0.616 8975.938 
-0.017 1.000 0.786 0.616 8977.812 
-0.009 1.000 0.785 0.616 8983.433 
-0.015 0.000 0.785 0.615 8985.306 
-0.007 1.000 0.785 0.616 8990.927 
-0.012 1.000 0.785 0.617 8992.800 
-0.018 1.000 0.786 0.614 8994.674 
-0.010 0.000 0.786 0.617 9000.294 
-0.016 1.000 0.787 0.616 9002.167 
-0.007 0.000 0.786 0.616 9007.788 
-0.013 1.000 0.786 0.616 9009.661 
-0.019 1.000 0.786 0.616 9013.408 
-0.011 1.000 0.785 0.615 9017.155 
-0.016 1.000 0.784 0.615 9020.902 
-0.008 1.000 0.784 0.616 9024.649 
-0.014 1.000 0.787 0.616 9028.396 
-0.006 1.000 0.785 0.615 9032.144 
-0.011 1.000 0.784 0.616 9034.017 
-0.017 1.000 0.785 0.617 9037.764 
-0.009 1.000 0.784 0.614 9041.511 
-0.015 1.000 0.785 0.616 9045.258 
-0.006 1.000 0.786 0.615 9049.005 
-0.012 1.000 0.786 0.614 9052.752 
-0.018 0.000 0.784 0.616 9054.625 
-0.010 1.000 0.786 0.616 9060.246 
-0.016 1.000 0.786 0.614 9062.119 
-0.007 1.000 0.785 0.616 9065.866 
-0.013 1.000 0.784 0.615 9069.613 
-0.019 1.000 0.787 0.617 9071.487 
-0.011 1.000 0.787 0.617 9077.107 
-0.016 0.000 0.786 0.614 9078.980 
-0.008 1.000 0.786 0.616 9084.602 
-0.014 1.000 0.784 0.616 9086.475 
-0.006 1.000 0.785 0.616 9092.096 
-0.011 1.000 0.785 0.616 9093.969 
-0.017 1.000 0.785 0.616 9095.843 
-0.009 1.000 0.784 0.617 9101.463 
-0.015 0.000 0.786 0.617 9103.337 
-0.006 1.000 0.786 0.616 9108.957 
-0.012 0.000 0.784 0.615 9110.830 
-0.018 0.000 0.784 0.614 9112.704 
-0.010 1.000 0.785 0.617 9118.324 
-0.016 1.000 0.786 0.616 9120.198 
-0.007 0.000 0.786 0.617 9125.818 
-0.013 1.000 0.784 0.615 9127.692 
-0.019 1.000 0.785 0.616 9131.438 
-0.010 1.000 0.785 0.614 9135.186 
-0.016 1.000 0.786 0.615 9137.060 
-0.008 0.000 0.786 0.615 9142.680 
-0.014 1.000 0.786 0.616 9144.554 
-0.005 1.000 0.786 0.614 9150.174 
-0.011 0.000 0.786 0.615 9152.048 
-0.017 1.000 0.787 0.614 9155.795 
-0.009 1.000 0.785 0.614 9159.541 
-0.015 1.000 0.786 0.616 9163.288 
-0.006 1.000 0.785 0.617 9167.035 
-0.012 1.000 0.785 0.617 9168.909 
-0.018 1.000 0.786 0.614 9172.656 
-0.010 1.000 0.784 0.615 9176.403 
-0.015 1.000 0.784 0.614 9180.150 
-0.007 1.000 0.786 0.615 9183.896 
-0.013 0.000 0.785 0.615 9187.644 
-0.019 1.000 0.785 0.616 9189.518 
-0.010 1.000 0.784 0.616 9195.138 
-0.016 1.000 0.784 0.616 9197.012 
-0.008 1.000 0.784 0.617 9202.632 
-0.014 1.000 0.787 0.616 9204.506 
-0.005 0.000 0.784 0.614 9208.253 
-0.011 1.000 0.786 0.617 9211.999 
-0.017 1.000 0.787 0.616 9213.873 
-0.009 0.000 0.785 0.615 9219.493 
-0.015 1.000 0.784 0.614 9221.367 
-0.006 1.000 0.785 0.617 9226.987 
-0.012 1.000 0.785 0.617 9228.861 
-0.018 0.000 0.785 0.616 9230.734 
-0.010 1.000 0.785 0.615 9236.354 
-0.015 1.000 0.785 0.617 9238.229 
-0.007 1.000 0.787 0.614 9243.849 
-0.013 1.000 0.785 0.615 9245.723 
-0.019 1.000 0.786 0.616 9247.596 
-0.010 1.000 0.786 0.615 9253.217 
-0.016 1.000 0.784 0.616 9255.090 
-0.008 1.000 0.787 0.615 9260.710 
-0.014 1.000 0.784 0.615 9262.584 
-0.019 0.000 0.787 0.617 9266.331 
-0.011 1.000 0.784 0.614 9270.078 
-0.017 1.000 0.784 0.615 9273.825 
-0.009 1.000 0.785 0.616 9277.572 
-0.014 1.000 0.784 0.616 9279.445 
-0.006 1.000 0.785 0.614 9285.066 
-0.012 1.000 0.784 0.616 9286.939 
-0.018 1.000 0.785 0.616 9290.687 
-0.009 1.000 0.787 0.617 9294.434 
-0.015 1.000 0.786 0.617 9298.181 
-0.007 1.000 0.784 0.614 9301.928 
-0.013 1.000 0.784 0.615 9305.675 
-0.019 1.000 0.785 0.617 9307.548 
-0.010 0.000 0.786 0.617 9311.295 
-0.016 1.000 0.786 0.616 9315.042 
-0.008 1.000 0.785 0.615 9318.789 
-0.014 1.000 0.786 0.615 9322.536 
-0.019 1.000 0.785 0.614 9324.409 
-0.011 1.000 0.785 0.617 9330.030 
-0.017 1.000 0.784 0.615 9331.903 
-0.009 1.000 0.785 0.614 9337.524 
