timestamp work_status azimuth_deviation elevation_deviation
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.099 
0.000 1.000 0.098 0.099 
0.000 1.000 0.099 0.099 
0.000 1.000 0.099 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.099 
0.000 1.000 0.098 0.099 
0.000 1.000 0.100 0.103 
0.000 1.000 0.101 0.098 
0.000 1.000 0.098 0.101 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.101 
0.000 1.000 0.099 0.100 
0.000 1.000 0.101 0.100 
0.000 1.000 0.100 0.098 
0.000 1.000 0.100 0.099 
0.000 1.000 0.101 0.099 
0.000 1.000 0.099 0.101 
0.000 1.000 0.101 0.100 
0.000 1.000 0.102 0.099 
0.000 1.000 0.101 0.101 
0.000 1.000 0.099 0.098 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.101 
0.000 1.000 0.099 0.101 
0.000 1.000 0.099 0.100 
0.000 1.000 0.099 0.100 
0.000 1.000 0.098 0.101 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.101 
0.000 1.000 0.100 0.099 
0.000 1.000 0.099 0.099 
0.000 1.000 0.098 0.101 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.101 0.100 
0.000 1.000 0.099 0.099 
0.000 1.000 0.099 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.099 
0.000 1.000 0.100 0.100 
0.000 1.000 0.102 0.099 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.099 0.099 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.101 0.102 
0.000 1.000 0.098 0.099 
0.000 1.000 0.101 0.101 
0.000 1.000 0.100 0.100 
0.000 1.000 0.098 0.100 
0.000 1.000 0.101 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.099 
0.000 1.000 0.100 0.101 
0.000 1.000 0.099 0.099 
0.000 1.000 0.101 0.101 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.101 
0.000 1.000 0.101 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.101 0.101 
0.000 1.000 0.100 0.098 
0.000 1.000 0.100 0.099 
0.000 1.000 0.100 0.100 
0.000 1.000 0.101 0.100 
0.000 1.000 0.098 0.100 
0.000 1.000 0.102 0.101 
0.000 1.000 0.098 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.100 0.100 
0.000 1.000 0.103 0.098 
0.000 1.000 0.100 0.101 
